,long_covid,population,"Crude rate per 100,000 population"
all,All patients,All patients,All patients
date,,,
2020-11-02,,,
2020-11-09,,,
2020-11-16,,,
2020-11-23,,,
2020-11-30,9.0,24008634.0,0.03748651422650701
2020-12-07,27.0,24011986.0,0.11244384367040693
2020-12-14,50.0,24015255.0,0.20820099557552066
2020-12-21,52.0,24018907.0,0.21649611283311104
2020-12-28,40.0,24019926.0,0.16652840645720557
2021-01-04,117.0,24024128.0,0.4870103922190225
2021-01-11,134.0,24030100.0,0.5576339673992201
2021-01-18,132.0,24033463.0,0.549234207321683
2021-01-25,223.0,24028586.0,0.9280612683576137
2021-02-01,250.0,24031027.0,1.0403217473810005
2021-02-08,312.0,24031500.0,1.2982959865176955
2021-02-15,316.0,24033184.0,1.3148486692399977
2021-02-22,501.0,24037394.0,2.084252560822525
2021-03-01,253.0,24038482.0,1.0524791041297865
