code	term	Total records	%
1325161000000100	Post-COVID-19 syndrome	8941	14.2882255178
1325181000000110	Ongoing symptomatic disease caused by severe acute respiratory syndrome coronavirus 2	8205	13.1120557402
1325021000000110	Signposting to Your COVID Recovery	16727	26.7306954743
1325031000000110	Referral to post-COVID assessment clinic	16881	26.9767962158
1325041000000100	Referral to Your COVID Recovery rehabilitation platform	7272	11.6210687804
1325051000000100	Newcastle post-COVID syndrome Follow-up Screening Questionnaire	144	0.2301201739
1325061000000100	Assessment using Newcastle post-COVID syndrome Follow-up Screening Questionnaire	78	0.1246484275
1325071000000110	COVID-19 Yorkshire Rehabilitation Screening tool	699	1.1170416773
1325081000000110	Assessment using COVID-19 Yorkshire Rehabilitation Screening tool	1016	1.6236256712
1325091000000110	Post-COVID-19 Functional Status Scale patient self-report	9	0.0143825109
1325101000000100			
1325121000000110			
1325131000000110	Post-COVID-19 Functional Status Scale structured interview final scale grade	0	0
1325141000000100	Assessment using Post-COVID-19 Functional Status Scale structured interview	33	0.0527358732
1325151000000100	Post-COVID-19 Functional Status Scale structured interview	[REDACTED]	[REDACTED]
266226000	Postviral infection debility	950	1.5181539248
272038003	Complaining of postviral syndrome	560	0.8949117873
51771007	Postviral fatigue syndrome	1045	1.6699693173
