,long_covid,long_covid,long_covid,population,population,population,"Crude rate per 100,000 population","Crude rate per 100,000 population","Crude rate per 100,000 population"
previous_covid,COVID hospitalised,COVID positive,No previous COVID code,COVID hospitalised,COVID positive,No previous COVID code,COVID hospitalised,COVID positive,No previous COVID code
date,,,,,,,,,
2020-11-02,,,,,,,,,
2020-11-09,0.0,,,42003.0,,,0.0,,
2020-11-16,,,,,,,,,
2020-11-23,0.0,,0.0,47684.0,,23492423.0,0.0,,0.0
2020-11-30,,,,,,,,,
2020-12-07,7.0,14.0,6.0,51013.0,497115.0,23439379.0,13.721992433301315,2.816249761121672,0.02559794779545994
2020-12-14,11.0,24.0,14.0,52233.0,536617.0,23401842.0,21.059483468305476,4.472463600668633,0.05982435057889887
2020-12-21,,37.0,10.0,,598080.0,23342827.0,,6.186463349384698,0.04283971260207686
2020-12-28,,29.0,9.0,,668062.0,23272843.0,,4.340914466022614,0.03867168269901533
2021-01-04,,83.0,29.0,,786398.0,23159252.0,,10.554452071343011,0.12521993370079482
2021-01-11,6.0,100.0,26.0,52717.0,883480.0,23069059.0,11.38152778041239,11.318875356544574,0.11270507392607562
2021-01-18,11.0,85.0,35.0,52153.0,962993.0,22993372.0,21.091787624872968,8.82664775341046,0.1522177782362674
2021-01-25,15.0,136.0,68.0,51831.0,1022568.0,22929222.0,28.940209527116977,13.29984900759656,0.29656479404316466
2021-02-01,16.0,148.0,84.0,51586.0,1067558.0,22886769.0,31.016167177141085,13.863415383520147,0.3670242837684952
2021-02-08,20.0,210.0,77.0,51367.0,1104405.0,22850960.0,38.935503338719414,19.01476360574246,0.3369661493433974
2021-02-15,12.0,119.0,62.0,51166.0,1130095.0,22824282.0,23.453074307157095,10.530088178427476,0.2716405273997228
