code,term,Total records,%
1325161000000102,Post-COVID-19 syndrome,117489.0,50.71110094396223
1325181000000106,Ongoing symptomatic disease caused by severe acute respiratory syndrome coronavirus 2,27777.0,11.989226658839879
1325021000000106,Signposting to Your COVID Recovery,44654.0,19.27374904503136
1325031000000108,Referral to post-COVID assessment clinic,20548.0,8.869014990310035
1325041000000104,Referral to Your COVID Recovery rehabilitation platform,3046.0,1.3147274508703704
1325051000000101,Newcastle post-COVID syndrome Follow-up Screening Questionnaire,2100.0,0.9064109149139126
1325061000000103,Assessment using Newcastle post-COVID syndrome Follow-up Screening Questionnaire,866.0,0.3737865963406896
1325071000000105,COVID-19 Yorkshire Rehabilitation Screening tool,478.0,0.20631638920421438
1325081000000107,Assessment using COVID-19 Yorkshire Rehabilitation Screening tool,271.0,0.11697017044841442
1325091000000109,Post-COVID-19 Functional Status Scale patient self-report,[REDACTED],[REDACTED]
1325101000000101,Assessment using Post-COVID-19 Functional Status Scale patient self-report,202.0,0.08718809752981445
1325121000000105,Post-COVID-19 Functional Status Scale patient self-report final scale grade,[REDACTED],[REDACTED]
1325131000000107,Post-COVID-19 Functional Status Scale structured interview final scale grade,10.0,0.004316242451971012
1325141000000103,Assessment using Post-COVID-19 Functional Status Scale structured interview,799.0,0.34486777191248386
1325151000000100,Post-COVID-19 Functional Status Scale structured interview,[REDACTED],[REDACTED]
266226000,Postviral infection debility,0.0,0.0
272038003,Complaining of postviral syndrome,2201.0,0.9500049636788197
51771007,Postviral fatigue syndrome,11137.0,4.806999218760116
