first_long_covid_date,long_covid
2020-01-05,
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,
2020-02-02,
2020-02-09,
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,10.0
2020-03-08,0.0
2020-03-15,
2020-03-22,0.0
2020-03-29,
2020-04-05,7.0
2020-04-12,
2020-04-19,
2020-04-26,
2020-05-03,8.0
2020-05-10,
2020-05-17,
2020-05-24,
2020-05-31,
2020-06-07,6.0
2020-06-14,
2020-06-21,8.0
2020-06-28,
2020-07-05,6.0
2020-07-12,
2020-07-19,
2020-07-26,
2020-08-02,
2020-08-09,
2020-08-16,
2020-08-23,
2020-08-30,
2020-09-06,
2020-09-13,
2020-09-20,6.0
2020-09-27,
2020-10-04,9.0
2020-10-11,6.0
2020-10-18,7.0
2020-10-25,8.0
2020-11-01,8.0
2020-11-08,7.0
2020-11-15,7.0
2020-11-22,14.0
2020-11-29,7.0
2020-12-06,26.0
2020-12-13,13.0
2020-12-20,11.0
2020-12-27,21.0
2021-01-03,21.0
2021-01-10,44.0
2021-01-17,45.0
2021-01-24,86.0
2021-01-31,523.0
2021-02-07,1688.0
2021-02-14,1464.0
2021-02-21,1555.0
2021-02-28,1740.0
2021-03-07,1578.0
2021-03-14,1491.0
2021-03-21,1525.0
2021-03-28,1566.0
2021-04-04,1060.0
2021-04-11,1127.0
2021-04-18,1370.0
2021-04-25,1119.0
