first_long_covid_date,long_covid
2020-01-05,
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,
2020-02-02,
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,9.0
2020-03-08,0.0
2020-03-15,
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,
2020-04-12,
2020-04-19,0.0
2020-04-26,
2020-05-03,
2020-05-10,
2020-05-17,
2020-05-24,0.0
2020-05-31,
2020-06-07,
2020-06-14,0.0
2020-06-21,
2020-06-28,
2020-07-05,
2020-07-12,
2020-07-19,
2020-07-26,
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,
2020-08-30,
2020-09-06,
2020-09-13,
2020-09-20,
2020-09-27,
2020-10-04,
2020-10-11,6.0
2020-10-18,
2020-10-25,
2020-11-01,
2020-11-08,
2020-11-15,6.0
2020-11-22,7.0
2020-11-29,
2020-12-06,17.0
2020-12-13,8.0
2020-12-20,6.0
2020-12-27,14.0
2021-01-03,9.0
2021-01-10,29.0
2021-01-17,32.0
2021-01-24,63.0
2021-01-31,446.0
2021-02-07,1396.0
2021-02-14,1264.0
2021-02-21,1375.0
2021-02-28,1516.0
2021-03-07,1365.0
2021-03-14,892.0
